,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
181,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.0509467124938965,281724,31796
182,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.0509467124938965,185688,31797
183,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.0509467124938965,577038,31798
184,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.0509467124938965,4468,31799
185,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.0509467124938965,2373727,31800
186,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.031097888946533,36572,31801
187,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.031097888946533,190795,31802
188,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.031097888946533,11035,31803
189,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.031097888946533,273,31804
190,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.031097888946533,403115,31805
191,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.031097888946533,2284896,31806
192,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.011248588562012,147474,31807
193,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.011248588562012,598470,31808
194,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.011248588562012,456103,31809
195,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.011248588562012,547488,31810
196,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-7.011248588562012,856026,31811
197,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.011248588562012,915399,31812
198,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.011248588562012,1309759,31813
199,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.011248588562012,246520,31814
200,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-6.991397857666016,5928,31815
201,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-6.991397857666016,16507,31816
202,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-6.971546649932861,14683,31817
203,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-6.971546649932861,439231,31818
204,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-6.971546649932861,114094,31819
205,124,Pitt Bank C,Southern Banks,Chagos,71.4000015258789,-6.971546649932861,26631,31820
206,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-6.951694488525391,191069,31821
207,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.070794582366943,303065,32000
208,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-7.0509467124938965,44415,32001
209,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-7.0509467124938965,142275,32002
210,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-7.0509467124938965,54903,32003
211,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.0509467124938965,71958,32004
212,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.0509467124938965,389434,32005
213,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.0509467124938965,343286,32006
214,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.0509467124938965,478995,32007
215,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-7.031097888946533,147292,32008
216,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-7.031097888946533,509639,32009
217,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-7.031097888946533,15686,32010
218,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-7.031097888946533,100505,32011
219,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-7.031097888946533,54447,32012
220,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.031097888946533,84818,32013
221,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.031097888946533,307717,32014
222,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.031097888946533,547944,32015
223,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.031097888946533,346113,32016
224,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-7.011248588562012,484376,32017
225,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-7.011248588562012,92114,32018
226,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-7.011248588562012,79710,32019
227,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-7.011248588562012,34930,32020
228,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-7.011248588562012,264760,32021
